iter	MultiClass
0	2.21459568
1	1.726095438
2	1.43996802
3	1.228690865
4	1.059721374
5	0.9231158107
6	0.8325286733
7	0.7404641831
8	0.6739791959
9	0.6048621772
10	0.5470084036
11	0.4928792549
12	0.4418376026
13	0.400721542
14	0.3647584814
15	0.3338740421
16	0.310812537
17	0.2848791226
18	0.2648249998
19	0.2496883382
20	0.2335234119
21	0.2203935357
22	0.206743567
23	0.1963787816
24	0.1856924266
25	0.17312324
26	0.1647377819
27	0.1563223596
28	0.1482519004
29	0.1394265975
30	0.1344916828
31	0.1286915597
32	0.1235778618
33	0.1184390941
34	0.1138956199
35	0.1088027987
36	0.103718193
37	0.1000196346
38	0.0965915314
39	0.09318293883
40	0.08992037943
41	0.08644731927
42	0.08317313954
43	0.07945352322
44	0.07671468133
45	0.07446115859
46	0.07222851282
47	0.06986433697
48	0.06727793538
49	0.06542020388
50	0.06362635318
51	0.06205457471
52	0.0602564608
53	0.05886689006
54	0.05737697214
55	0.05566825513
56	0.05412780779
57	0.0526172126
58	0.05147058469
59	0.05005051447
60	0.04851709048
61	0.04714401875
62	0.04590503894
63	0.0446352727
64	0.04379240801
65	0.04284051508
66	0.04175361277
67	0.04079151015
68	0.03991898239
69	0.03888031061
70	0.03819468137
71	0.03732695856
72	0.03663034279
73	0.03598182691
74	0.03531670819
75	0.0346855853
76	0.03394106964
77	0.03315685293
78	0.03231225643
79	0.03173824097
80	0.03109682153
81	0.03043529063
82	0.03000508519
83	0.02948918533
84	0.02900939374
85	0.02848625425
86	0.0280146915
87	0.0276110565
88	0.02721971488
89	0.02690611371
90	0.02661318101
91	0.02624645786
92	0.02593414303
93	0.02562077494
94	0.02534396273
95	0.02489242155
96	0.02453439176
97	0.02421779589
98	0.02388292899
99	0.02357813275
100	0.02334015356
101	0.02308245884
102	0.02278806035
103	0.0224556356
104	0.02210637338
105	0.02167510001
106	0.02143072225
107	0.02112447746
108	0.0209154131
109	0.02072393539
110	0.02053526659
111	0.02035284156
112	0.02007993797
113	0.01983296448
114	0.0196087307
115	0.01939321374
116	0.01918134688
117	0.01902301766
118	0.01886796742
119	0.01872248338
120	0.01853753044
121	0.018395872
122	0.0182192536
123	0.01805849015
124	0.01791857039
125	0.01774327545
126	0.01758875255
127	0.01745115447
128	0.01728345117
129	0.01711208683
130	0.01698245346
131	0.01681312098
132	0.01662419312
133	0.01645705509
134	0.01634488632
135	0.01617129605
136	0.01603653542
137	0.01589081807
138	0.0156599587
139	0.01553279145
140	0.01537639921
141	0.01525646221
142	0.01510230667
143	0.01500192292
144	0.01486416944
145	0.01473590253
146	0.01465377684
147	0.014530991
148	0.01443554728
149	0.01426271296
150	0.01413020006
151	0.01405833466
152	0.0139275742
153	0.01381684802
154	0.01371081692
155	0.01361345039
156	0.01353401807
157	0.01343458324
158	0.01335993336
159	0.01328063609
160	0.01319926219
161	0.0131054577
162	0.01300704093
163	0.01293077882
164	0.01284392424
165	0.01276727512
166	0.01269047593
167	0.0126034558
168	0.01252168319
169	0.0124470158
170	0.01237289446
171	0.01227233365
172	0.01217352297
173	0.01207297711
174	0.01198481167
175	0.01186931221
176	0.0118013017
177	0.01172488195
178	0.01165658807
179	0.01158444129
180	0.01153141407
181	0.01145925188
182	0.01138067988
183	0.01130880484
184	0.01124129641
185	0.01118136673
186	0.01111030627
187	0.01104079299
188	0.01097390698
189	0.01090691655
190	0.01083121065
191	0.01077625271
192	0.01071711652
193	0.01066620006
194	0.01062414359
195	0.01056988263
196	0.01051939944
197	0.01044469535
198	0.0103803024
199	0.01032782646
200	0.01027976805
201	0.01019828641
202	0.01013501088
203	0.01009882471
204	0.01004229222
205	0.009981168581
206	0.009924441587
207	0.009872944129
208	0.009816428819
209	0.009759071261
210	0.009694915072
211	0.009601762062
212	0.009563989033
213	0.009525219991
214	0.009486873068
215	0.009435662483
216	0.009403354544
217	0.009348305423
218	0.009313593789
219	0.009277410891
220	0.009222977693
221	0.009174124584
222	0.009118803627
223	0.009082423238
224	0.009021181379
225	0.008987241567
226	0.008931930901
227	0.008882582497
228	0.008837484705
229	0.008801018964
230	0.008733096541
231	0.008683351053
232	0.008644873025
233	0.008614053393
234	0.008562720799
235	0.008529287901
236	0.008491918188
237	0.008465132768
238	0.008418248103
239	0.00837385654
240	0.008344363786
241	0.008312141623
242	0.008280603438
243	0.008242464835
244	0.008208940838
245	0.008177398945
246	0.00814504911
247	0.008116154863
248	0.008065158103
249	0.008036029021
250	0.008006025707
251	0.007975953884
252	0.007951380297
253	0.007915623703
254	0.007874776235
255	0.007851232973
256	0.007821968755
257	0.007796701905
258	0.00773874499
